# 2022.06.16
# 42Ca energy levels from NNDC
# Energy in keV
       E            Jπ  StateN  Doubt
 12204.1            -1      -1     -1
 12207.9    (0+,1-,2+)       1      1
 12210.4            -1      -1     -1
 12212.2            -1      -1     -1
 12216.0            -1      -1     -1
 12221.0            -1      -1     -1
 12222.7            -1      -1     -1
 12226.3            -1      -1     -1
 12230.5    (1-,2+,3-)       1      1
 12236.0            -1      -1     -1
 12238.4       (1-,3-)       1      1
 12239.4            -1      -1     -1
 12246.4       (1-,2+)       1      1
 12247.6            -1      -1     -1
 12251.8          (1-)       1      1
 12255.0            -1      -1     -1
 12260.2       (2+,3-)       1      1
 12263.0            -1      -1     -1
 12265.2            1-      40      0
 12268.1            3-      21      0
 12270.0            -1      -1     -1
 12271.8       (1-,2+)       1      1
 12277.2(0+,1-,2+,3-,4       1      1
 12278.7            -1      -1     -1
 12280.0            0+       9      0
 12285.7       (1-,2+)       1      1
 12287.7            -1      -1     -1
 12291.3            -1      -1     -1
 12294.9            -1      -1     -1
 12298.6    (1-,2+,3-)       1      1
 12300.6            -1      -1     -1
 12304.9            -1      -1     -1
 12308.2            -1      -1     -1
 12310.9            -1      -1     -1
 12314.0            -1      -1     -1
 12316.0            -1      -1     -1
 12320.6    (0+,1-,2+)       1      1
 12323.2       (1-,2+)       1      1
 12327.0            -1      -1     -1
 12330.0            -1      -1     -1
 12336.0            -1      -1     -1
 12340.0            -1      -1     -1
 12344.0            -1      -1     -1
 12348.0            -1      -1     -1
 12351.0            -1      -1     -1
 12358.0            -1      -1     -1
 12362.0            -1      -1     -1
 12369.0            -1      -1     -1
 12374.0            -1      -1     -1
 12377.0            -1      -1     -1
 12381.0            -1      -1     -1
 12383.0            -1      -1     -1
 12386.0            -1      -1     -1
 12390.0            -1      -1     -1
 12397.0            -1      -1     -1
 12701.4            -1      -1     -1
 12814.7            -1      -1     -1
 13712.8            -1      -1     -1
 13762.8            -1      -1     -1
 14700.0            0+      10      0
 15251.7            -1      -1     -1
 17400.0            1-      41      0
 20400.0            1-      42      0
